Production(STB/day)   P(psia)     Psf(psia)
204	602.2	738.1	14
225	745.5	2440	2000
228	1797	1942	840
233	824.5	1603	900
292	1074	2348	1300
299	702.2	1807	1140
325	1615	2401	1000
340	46.48	1455	1350
345	261.8	650.2	14
349	79.95	504.7	14
368	34.53	1896	1600
515	20	1393	1154
Total Production  is 7803.67
Difference between injection and production is 7.82703e-05
A sum is 3469.06 B sum is 3390.7 sum C is 943.909
