k 	 X         	Y      	 dx    	dy   	domain     	well 	  struc  	depth    	phi     	 kx      	 ky     	 Ax     	 Ay     	G    	 P    	WellBCs    	 rw
61	11346.9	685.385	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
62	11753.1	685.385	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
63	12159.2	685.385	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
64	12565.4	685.385	406.154	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
65	12920.8	685.385	304.615	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
66	13200	685.385	253.846	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
67	13453.8	685.385	253.846	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
68	13834.6	685.385	507.692	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
69	14266.2	685.385	355.385	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
70	14596.2	685.385	304.615	456.923	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
71	203.077	1193.08	406.154	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
72	634.615	1193.08	456.923	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
73	1116.92	1193.08	507.692	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
74	1624.62	1193.08	507.692	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
75	2132.31	1193.08	507.692	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
76	2538.46	1193.08	304.615	558.462	1	0	1420	2	0.05	0.09016	0.049588	1116.92	609.231	1421	0	0	0
77	2817.69	1193.08	253.846	558.462	1	0	1420	2	0.12	0.09016	0.049588	1116.92	507.692	1421	0	0	0
78	3223.85	1193.08	558.462	558.462	1	0	1420	2	0.12	0.09016	0.049588	1116.92	1116.92	1421	0	0	0
79	3630	1193.08	253.846	558.462	1	0	1420	2	0.15	0.09016	0.049588	1116.92	507.692	1421	0	0	0
80	3909.23	1193.08	304.615	558.462	1	0	1415	2	0.18	0.1127	0.061985	1116.92	609.231	1416	0	0	0
81	4264.62	1193.08	406.154	558.462	1	0	1410	5	0.25	0.1127	0.061985	2792.31	2030.77	1412.5	0	0	0
82	4772.31	1193.08	609.231	558.462	1	0	1405	6	0.23	0.1127	0.061985	3350.77	3655.38	1408	0	0	0
83	5330.77	1193.08	507.692	558.462	1	0	1405	6	0.22	0.1127	0.061985	3350.77	3046.15	1408	0	0	0
84	5838.46	1193.08	507.692	558.462	1	0	1415	6	0.2	0.1127	0.061985	3350.77	3046.15	1418	0	0	0
85	6270	1193.08	355.385	558.462	1	0	1415	6	0.22	0.1127	0.061985	3350.77	2132.31	1418	0	0	0
86	6752.31	1193.08	609.231	558.462	1	0	1420	6	0.25	0.1127	0.061985	3350.77	3655.38	1423	0	0	0
87	7323.46	1193.08	533.077	558.462	1	11	1410	6	0.25	0.1127	0.061985	3350.77	3198.46	1413	0	1100	0.25
88	7920	1193.08	660	558.462	1	0	1410	5	0.23	0.1127	0.061985	2792.31	3300	1412.5	0	0	0
89	8580	1193.08	660	558.462	1	0	1415	5	0.23	0.09016	0.049588	2792.31	3300	1417.5	0	0	0
90	9062.31	1193.08	304.615	558.462	1	0	1415	4	0.15	0.05635	0.0309925	2233.85	1218.46	1417	0	0	0
91	9392.31	1193.08	355.385	558.462	1	0	1430	3	0.1	0.04508	0.024794	1675.38	1066.15	1431.5	0	0	0
92	9798.46	1193.08	456.923	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
93	10230	1193.08	406.154	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
94	10585.4	1193.08	304.615	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
95	10940.8	1193.08	406.154	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
96	11346.9	1193.08	406.154	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
97	11753.1	1193.08	406.154	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
98	12159.2	1193.08	406.154	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
99	12565.4	1193.08	406.154	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
100	12920.8	1193.08	304.615	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
101	13200	1193.08	253.846	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
102	13453.8	1193.08	253.846	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
103	13834.6	1193.08	507.692	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
104	14266.2	1193.08	355.385	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
105	14596.2	1193.08	304.615	558.462	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
106	203.077	1802.31	406.154	660	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0
107	634.615	1802.31	456.923	660	1	0	1425	3	0.1	0.09016	0.049588	1980	1370.77	1426.5	0	0	0
